"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: blockTypeStr"
"GeoDriverBenchParams.checkNearestNSWEBytesDirect","thrpt",4,5,22270.298271,702.183804,"ops/s",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:CPI","thrpt",4,1,0.413065,NaN,"clks/insn",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:IPC","thrpt",4,1,2.420925,NaN,"insns/clk",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:branch-misses","thrpt",4,1,13.227463,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:branches","thrpt",4,1,60245.757108,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:cycles","thrpt",4,1,141094.607402,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:instructions","thrpt",4,1,341579.448399,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect","thrpt",4,5,4354.953343,34.095124,"ops/s",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:CPI","thrpt",4,1,1.202903,NaN,"clks/insn",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:IPC","thrpt",4,1,0.831322,NaN,"insns/clk",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:branch-misses","thrpt",4,1,23.153225,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:branches","thrpt",4,1,71061.755373,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:cycles","thrpt",4,1,717639.530538,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:instructions","thrpt",4,1,596589.761245,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect","thrpt",4,5,742.230278,3.821662,"ops/s",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:CPI","thrpt",4,1,0.940614,NaN,"clks/insn",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:IPC","thrpt",4,1,1.063136,NaN,"insns/clk",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:branch-misses","thrpt",4,1,24301.321485,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:branches","thrpt",4,1,665830.207537,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:cycles","thrpt",4,1,4240654.315955,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirect:instructions","thrpt",4,1,4508390.416957,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR","thrpt",4,5,3362.388291,51.110246,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:CPI","thrpt",4,1,1.148337,NaN,"clks/insn",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:IPC","thrpt",4,1,0.870825,NaN,"insns/clk",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:branch-misses","thrpt",4,1,776.938236,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:branches","thrpt",4,1,100159.475411,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:cycles","thrpt",4,1,934351.824159,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:instructions","thrpt",4,1,813656.723216,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR","thrpt",4,5,26468.933154,597.595123,"ops/s",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:CPI","thrpt",4,1,0.348616,NaN,"clks/insn",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:IPC","thrpt",4,1,2.868484,NaN,"insns/clk",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:branch-misses","thrpt",4,1,12.852632,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:branches","thrpt",4,1,60178.704332,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:cycles","thrpt",4,1,118942.912128,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:instructions","thrpt",4,1,341185.789175,NaN,"#/op",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR","thrpt",4,5,4362.673892,52.385719,"ops/s",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:CPI","thrpt",4,1,1.201758,NaN,"clks/insn",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:IPC","thrpt",4,1,0.832114,NaN,"insns/clk",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:branch-misses","thrpt",4,1,23.568027,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:branches","thrpt",4,1,71025.232094,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:cycles","thrpt",4,1,716602.670366,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:instructions","thrpt",4,1,596295.085432,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR","thrpt",4,5,713.904343,2.717607,"ops/s",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:CPI","thrpt",4,1,0.978410,NaN,"clks/insn",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:IPC","thrpt",4,1,1.022066,NaN,"insns/clk",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:branch-misses","thrpt",4,1,23906.723421,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:branches","thrpt",4,1,665734.464923,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:cycles","thrpt",4,1,4410564.175754,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIR:instructions","thrpt",4,1,4507888.441798,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf","thrpt",4,5,3350.734172,11.897369,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:CPI","thrpt",4,1,1.171521,NaN,"clks/insn",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:IPC","thrpt",4,1,0.853591,NaN,"insns/clk",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:branch-misses","thrpt",4,1,898.221332,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:branches","thrpt",4,1,99583.674670,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:cycles","thrpt",4,1,935996.581741,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:instructions","thrpt",4,1,798958.432242,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf","thrpt",4,5,22113.863050,533.540800,"ops/s",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:CPI","thrpt",4,1,0.382458,NaN,"clks/insn",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:IPC","thrpt",4,1,2.614669,NaN,"insns/clk",FLAT_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIf:branch-misses","thrpt",4,1,12.952084,NaN,"#/op",FLAT_BLOCK
